# index, label, movie_id, viz, vid, _pos
27,II,180,"{'color': {'r': 214, 'g': 67, 'b': 67, 'a': 1.0}, 'size': 5.1397915, 'position': {'x': -15.01922, 'y': 144.49025, 'z': 0.0}}",1088115,"array([2.18910259, 6.35082376])"
28,III,180,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.034672, 'position': {'x': 294.5922, 'y': 55.44916, 'z': 0.0}}",1085149,"array([1.50602926, 6.78591437])"
29,INSIDE THE CELL,180,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': -47.919624, 'y': 212.95773, 'z': 0.0}}",1082257,"array([1.78169959, 5.98693844])"
30,JACK WRIGHT,180,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': -115.35738, 'y': -158.41214, 'z': 0.0}}",1082400,"array([2.9263115 , 5.66784959])"
31,JOANNA,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': 174.31802, 'y': 206.17377, 'z': 0.0}}",1083219,"array([3.12171106, 4.73461126])"
32,JOE,180,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': 98.61033, 'y': 196.74895, 'z': 0.0}}",1085724,"array([2.32283421, 6.08330239])"
33,JOE SHA,180,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0687003, 'position': {'x': 158.22089, 'y': 242.21126, 'z': 0.0}}",1083764,"array([2.9018086 , 6.36933654])"
34,JOE SHAYE,180,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 8.612569, 'position': {'x': 94.130356, 'y': 121.52122, 'z': 0.0}}",1082193,"array([2.34227004, 6.5571959 ])"
35,JOE SHAYS,180,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': -82.14782, 'y': 171.35542, 'z': 0.0}}",1089397,"array([1.76084798, 6.23510907])"
36,JOE SHP_YE,180,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.001839, 'position': {'x': -46.986145, 'y': 119.30029, 'z': 0.0}}",1089597,"array([2.03329116, 5.9357755 ])"
37,JUDGE,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -214.537, 'y': 13.690763, 'z': 0.0}}",1087450,"array([3.04288898, 4.37421338])"
38,JUDY,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -158.47148, 'y': -81.20496, 'z': 0.0}}",1088478,"array([2.03463492, 4.11883068])"
39,KID,180,"{'color': {'r': 214, 'g': 67, 'b': 67, 'a': 1.0}, 'size': 5.0, 'position': {'x': 22.67152, 'y': 226.19511, 'z': 0.0}}",1088627,"array([2.21101403, 7.01247228])"
40,LANDLORD,180,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': 26.343206, 'y': 284.7495, 'z': 0.0}}",1086982,"array([2.2734493 , 7.50151401])"
41,LOAN OFFICER,180,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': -47.797047, 'y': -262.3089, 'z': 0.0}}",1082777,"array([3.69976195, 6.33930542])"
42,LUCY,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -106.66083, 'y': 82.51224, 'z': 0.0}}",1084776,"array([1.23544111, 5.5651614 ])"
43,MACHINE,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -159.1907, 'y': 127.75843, 'z': 0.0}}",1084846,"array([1.08273628, 5.34722911])"
44,MAN #1,180,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': 84.02958, 'y': -225.87048, 'z': 0.0}}",1083575,"array([2.90332782, 5.22369937])"
45,MAN #2,180,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': 61.885036, 'y': -294.8599, 'z': 0.0}}",1083580,"array([3.25670979, 5.32172514])"
46,MANAGER,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -156.71706, 'y': -4.4049983, 'z': 0.0}}",1083805,"array([2.08057768, 4.4399697 ])"
